brand,model,Engines,CC/Battery Capacity kwh,HorsePower,Top Speed km/h,Performance(0 - 100 )KM/H,prices,seats,Torque,range,type,year,quantity
Porsche,Taycan,Dual Electric Motors,79.2,402,230,5.4,"$86,700",4,344 Nm,246,Sedan,2025,8
Porsche,Taycan 4S,Dual Electric Motors,79.2,522,250,4,"$103,800",4,640 Nm,246,Sedan,2025,4
Porsche,Taycan Turbo,Dual Electric Motors,93.4,670,260,3.2,"$150,900",4,850 Nm,290,Sedan,2024,7
Porsche,Taycan Turbo S,Dual Electric Motors,93.4,750,260,2.8,"$185,000",4,1050 Nm,290,Sedan,2025,2
Porsche,Taycan GTS,Dual Electric Motors,93.4,590,250,3.5,"$132,750",4,850 Nm,290,Sedan,2025,1
Porsche,Taycan Cross Turismo,Dual Electric Motors,93.4,469,220,4.8,"$97,700",5,500 Nm,290,Crossover,2025,10
Porsche,Taycan Sport Turismo,Dual Electric Motors,79.2,509,240,4.1,"$104,000",5,650 Nm,246,Crossover,2024,4
Porsche,Macan EV ,Dual Electric Motors,95,603,240,4,"$85,000",5,750 Nm,295,SUV,2025,6
Porsche,Taycan Base,Dual Electric Motors,79.2,321,230,5.4,"$86,700",4,345 Nm,246,Sedan,2025,8
Porsche,Taycan Cross Turismo 4,Dual Electric Motors,93.4,375,240,5.1,"$94,800",4,500 Nm,290,Crossover,2025,5
