VID,Type,Brand,Model,Year,Seats,Range,Quantity,Price,Description
96455b07-93f1-4a80-8adb-88e12ac66f05,Crossover,Volkswagen,ID. Buzz Cargo Pro,2025,2,385,3,55000.00,"Engines: Electric
CC/Battery Capacity kwh: 77
HorsePower: 204
Top Speed km/h: 145
Performance(0 - 100 )KM/H: 10.2
Torque: 310 Nm"
9888371e-cd90-41c7-83ae-a7af10ebe66a,SUV,Volkswagen,ID.4 GTX,2025,5,385,2,50000.00,"Engines: Electric AWD
CC/Battery Capacity kwh: 77
HorsePower: 299
Top Speed km/h: 180
Performance(0 - 100 )KM/H: 6.2
Torque: 460 Nm"
99800f64-4437-4a37-b976-209ea8273006,Hatchback,Volkswagen,ID.3 GTX,2025,5,385,1,45000.00,"Engines: Electric
CC/Battery Capacity kwh: 77
HorsePower: 299
Top Speed km/h: 180
Performance(0 - 100 )KM/H: 6.2
Torque: 310 Nm"
a1946d0e-e5c8-4942-9b6c-ef537d84af1e,Luxury,Cadillac,Lyriq EV Premium,2025,5,500,4,64990.00,"Engines: Dual Electric Motors
CC/Battery Capacity kwh: 100
HorsePower: 500
Top Speed km/h: 210
Performance(0 - 100 )KM/H: 4.5
Torque: 620 Nm"
a465869e-6bdc-46a2-8e07-8731e397e8b1,Crossover,TOYOTA,PROACE VERSO ELECTRIC,2025,7,375,7,55000.00,"Engines: ELECTRIC MOTOR
CC/Battery Capacity kwh: 75
HorsePower: 136
Top Speed km/h: 130
Performance(0 - 100 )KM/H: 13.5
Torque: 280 Nm"
a5c76442-e7ba-4217-8352-d9072e73f20e,SUV,Peugeot,e-2008 GT,2024,5,250,8,40000.00,"Engines: Electric Motor
CC/Battery Capacity kwh: 50
HorsePower: 136
Top Speed km/h: 200
Performance(0 - 100 )KM/H: 8.5
Torque: 260 Nm"
a755841a-af95-46b5-892e-49d2d142c30b,Crossover,Mazda,MX-30 Electric,2025,5,177,10,37000.00,"Engines: Electric Motor
CC/Battery Capacity kwh: 35.5
HorsePower: 143
Top Speed km/h: 140
Performance(0 - 100 )KM/H: 9.7
Torque: 271 Nm"
a787c581-750c-4aeb-a706-8db9752fadb9,SUV,Volkswagen,ID.5,2025,5,385,6,45000.00,"Engines: Electric
CC/Battery Capacity kwh: 77
HorsePower: 174
Top Speed km/h: 180
Performance(0 - 100 )KM/H: 8.4
Torque: 310 Nm"
b2891d64-1b0f-4f3c-8e5c-9a22e75bfca7,Hatchback,Chevrolet,Bolt EV 2LT,2023,5,330,7,28795.00,"Engines: Single Electric Motor
CC/Battery Capacity kwh: 66
HorsePower: 200
Top Speed km/h: 150
Performance(0 - 100 )KM/H: 6.7
Torque: 360 Nm"
b3fac618-11e1-4fc4-a776-4b9ae7848677,Crossover,Porsche,Taycan Cross Turismo GTS,2025,4,467,3,139400.00,"Engines: Dual Electric Motors
CC/Battery Capacity kwh: 93.4
HorsePower: 590
Top Speed km/h: 250
Performance(0 - 100 )KM/H: 3.8
Torque: 620 Nm"
